%time,field.destination_id0,field.destination_id1,field.destination_id2,field.destination_id3,field.destination_id4,field.destination_id5,field.destination_id6,field.destination_id7,field.destination_id8,field.destination_id9,field.distance0,field.stamp0,field.stamp1,field.stamp2
647013000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34608.4552856,647013000000,647013000000,647013000000
647113000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35110.4152501,647113000000,647113000000,647113000000
647214000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34806.911798,647213000000,647213000000,647213000000
647314000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34914.073146,647314000000,647314000000,647314000000
647415000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35132.8661321,647414000000,647414000000,647414000000
647515000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35193.0046966,647515000000,647515000000,647515000000
647615000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34705.199856,647615000000,647615000000,647615000000
647715000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35343.1843432,647715000000,647715000000,647715000000
647816000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34797.9737823,647815000000,647815000000,647815000000
647915000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34822.830012,647915000000,647915000000,647915000000
648016000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35296.0576631,648016000000,648016000000,648016000000
648116000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34786.3856723,648115000000,648115000000,648115000000
648215000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35263.3241489,648215000000,648215000000,648215000000
648317000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34655.9761443,648316000000,648316000000,648316000000
648416000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34774.2959056,648416000000,648416000000,648416000000
648517000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34856.1562261,648517000000,648517000000,648517000000
648618000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34849.3424003,648617000000,648617000000,648617000000
648718000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35078.5883178,648718000000,648718000000,648718000000
648818000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34990.7785136,648818000000,648818000000,648818000000
648919000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34788.2266286,648918000000,648918000000,648918000000
649019000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34134.1924733,649019000000,649019000000,649019000000
649119000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34885.8214093,649119000000,649119000000,649119000000
649219000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35015.0678021,649219000000,649219000000,649219000000
649320000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34742.5078065,649319000000,649319000000,649319000000
649420000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34986.3391583,649420000000,649420000000,649420000000
649520000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35088.0578784,649520000000,649520000000,649520000000
649621000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35108.363291,649620000000,649620000000,649620000000
649721000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34743.1907841,649721000000,649721000000,649721000000
649821000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35396.1502791,649821000000,649821000000,649821000000
649922000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35197.6894772,649921000000,649921000000,649921000000
650022000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35074.7322227,650022000000,650022000000,650022000000
650122000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35332.4276826,650122000000,650122000000,650122000000
650223000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34897.2846018,650222000000,650222000000,650222000000
650323000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34639.6625755,650323000000,650323000000,650323000000
650423000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34692.0580519,650423000000,650423000000,650423000000
650523000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34976.7818848,650523000000,650523000000,650523000000
650624000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35000.5814317,650624000000,650624000000,650624000000
650724000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35021.0073941,650724000000,650724000000,650724000000
650824000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35499.4830458,650824000000,650824000000,650824000000
650925000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34944.5200652,650925000000,650925000000,650925000000
651025000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35084.2775572,651024000000,651024000000,651024000000
651125000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34667.3209428,651125000000,651125000000,651125000000
651225000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35055.1086826,651225000000,651225000000,651225000000
651326000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35402.0166856,651326000000,651326000000,651326000000
651426000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35217.3709852,651426000000,651426000000,651426000000
651526000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35435.5645129,651526000000,651526000000,651526000000
651626000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34737.635022,651626000000,651626000000,651626000000
651727000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34873.1594823,651726000000,651726000000,651726000000
651827000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35355.267554,651827000000,651827000000,651827000000
651927000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34975.9332222,651927000000,651927000000,651927000000
